*** New Session***
19-7-2018 15:18:48
Product Name: Flux -30%
105151250 : Rx: [19][E7][00][9F][CF][00][20][20]
105151500 : Rx: [10][19][A3][41][00][00][FF][24]
105151765 : Rx: [19][E8][00][9F][CF][00][20][20]
105152015 : Rx: [10][19][A3][41][00][00][FF][24]
105152250 : Rx: [19][E9][00][9F][CF][00][20][20]
105152500 : Rx: [10][19][A3][41][00][00][FF][24]
105152765 : Rx: [19][EA][00][9F][CF][00][20][20]
105153015 : Rx: [10][19][A3][41][00][00][FF][24]
105153250 : Rx: [19][EB][00][9F][CF][00][20][20]
105153515 : Rx: [10][19][A3][41][00][00][FF][24]
105153765 : Rx: [19][EC][00][9F][CF][00][20][20]
105154000 : Rx: [10][19][A3][41][00][00][FF][24]
105154250 : Rx: [19][ED][00][9F][CF][00][20][20]
105154515 : Rx: [10][19][A3][41][00][00][FF][24]
105154765 : Rx: [19][EE][00][9F][CF][00][20][20]
105155015 : Rx: [10][19][A3][41][00][00][FF][24]
105155265 : Rx: [19][EF][00][9F][CF][00][20][20]
105155515 : Rx: [10][19][A3][41][00][00][FF][24]
105155750 : Rx: [19][F0][00][9F][CF][00][20][20]
105156000 : Rx: [10][19][A3][41][1B][00][FF][24]
105156265 : Rx: [19][F1][00][9F][CF][00][20][20]
105156500 : Rx: [10][19][A3][41][00][00][FF][24]
105156750 : Rx: [19][F2][00][9F][CF][00][20][20]
105157015 : Rx: [10][19][A3][41][00][00][FF][24]
105157250 : Rx: [19][F3][00][9F][CF][00][20][20]
105157515 : Rx fail
105157765 : Rx fail
105158000 : Rx: [10][19][A4][41][4D][01][FF][34]
105158250 : Rx: [19][F4][00][9F][CF][00][20][30]
105158515 : Rx: [10][19][A6][41][84][01][FF][34]
105158765 : Rx: [19][F5][00][9F][CF][00][20][30]
105159000 : Rx: [10][19][A8][41][BC][01][FF][34]
105159250 : Rx: [19][F6][00][9F][CF][00][20][30]
105159515 : Rx: [10][19][AA][42][0F][02][FF][34]
105159750 : Rx: [19][F7][00][9F][CF][00][20][30]
105160015 : Rx fail
105160265 : Rx fail
105160500 : Rx: [10][19][AC][42][9A][02][FF][34]
105160750 : Rx: [19][F9][0C][9F][CF][00][20][30]
105161015 : Rx: [10][19][B0][43][5D][03][FF][34]
105161250 : Rx: [19][FA][0C][9F][CF][00][20][30]
