*** New Session***
19-7-2018 15:16:15
Product Name: Flux 30%
104998515 : Rx: [10][19][FD][CB][00][00][FF][24]
104998750 : Rx: [19][C9][00][CA][3A][00][20][20]
104999000 : Rx: [10][19][FD][CB][00][00][FF][24]
104999265 : Rx: [19][CA][00][CA][3A][00][20][20]
104999500 : Rx: [10][19][FD][CB][00][00][FF][24]
104999750 : Rx: [19][CB][00][CA][3A][00][20][20]
105000000 : Rx: [10][19][FD][CB][00][00][FF][24]
105000265 : Rx: [19][CC][00][CA][3A][00][20][20]
105000500 : Rx: [10][19][FD][CB][00][00][FF][24]
105000750 : Rx: [51][FF][02][14][87][9E][5C][33]
105001000 : Rx fail
105001265 : Rx fail
105001500 : Rx: [10][19][FD][CB][00][00][FF][24]
105001765 : Rx: [19][CE][00][CA][3A][00][20][20]
105002015 : Rx: [10][19][FD][CB][00][00][FF][24]
105002250 : Rx: [19][CF][00][CA][3A][00][20][20]
105002500 : Rx: [10][19][FD][CB][00][00][FF][24]
105002765 : Rx: [19][D0][00][CA][3A][00][20][20]
105003015 : Rx: [10][19][FD][CB][00][00][FF][24]
105003250 : Rx: [19][D1][00][CA][3A][00][20][20]
105003515 : Rx: [10][19][FD][CB][00][00][FF][24]
105003765 : Rx: [19][D2][00][CA][3A][00][20][20]
105004015 : Rx: [10][19][FD][CB][00][00][FF][24]
105004265 : Rx: [19][D3][00][CA][3A][00][20][20]
105004515 : Rx: [10][19][FD][CB][00][00][FF][24]
105004750 : Rx: [19][D4][00][CA][3A][00][20][20]
105005000 : Rx: [10][19][FD][CB][1B][00][FF][24]
105005250 : Rx: [19][D5][00][CA][3A][00][20][20]
105005500 : Rx: [10][19][FD][CB][53][00][FF][24]
105005750 : Rx: [19][D6][00][CA][3A][00][20][20]
105006015 : Rx: [10][19][FD][CB][53][00][FF][24]
105006250 : Rx: [19][D7][00][CA][3A][00][20][20]
105006515 : Rx: [10][19][FE][CB][31][01][FF][34]
105006750 : Rx: [19][D8][00][CA][3A][00][20][30]
105007000 : Rx: [10][19][00][CC][9A][02][FF][34]
105007250 : Rx fail
105007515 : Rx: [19][D9][0B][CA][3A][00][20][30]
105007765 : Rx: [19][DA][0D][CA][3A][00][20][30]
105008000 : Rx: [10][19][04][CD][1F][04][FF][34]
105008250 : Rx: [19][DB][10][CA][3A][00][20][30]
105008500 : Rx: [10][19][06][CD][88][05][FF][34]
105008750 : Rx: [19][DC][12][CA][3A][00][20][30]
105009015 : Rx: [10][19][08][CE][D6][06][FF][34]
105009250 : Rx: [F0][00][00][00][00][00][00][00]
105009500 : Rx: [10][19][0A][CF][98][07][FF][34]
105009750 : Rx: [19][DD][19][CA][3A][00][20][30]
105010015 : Rx: [10][19][0C][D0][D0][07][FF][34]
105010265 : Rx: [19][DE][1B][CA][3A][00][20][33]
105010515 : Rx: [10][19][0E][D1][07][08][FF][34]
105010750 : Rx: [19][DF][19][16][3B][4C][20][33]
105011000 : Rx: [10][19][10][D2][82][06][FF][34]
105011265 : Rx: [19][E0][16][16][3B][00][20][33]
105011500 : Rx: [10][19][12][D3][88][05][FF][34]
105011750 : Rx: [19][E1][12][16][3B][00][20][33]
105012015 : Rx: [10][19][14][D3][A4][05][FF][34]
105012265 : Rx: [19][E2][13][59][3B][43][20][33]
105012500 : Rx: [10][19][16][D4][A4][05][FF][34]
105012765 : Rx: [19][E3][14][A0][3B][47][20][33]
105013000 : Rx: [10][19][18][D5][13][06][FF][34]
105013250 : Rx: [19][E4][19][03][3C][63][20][33]
105013500 : Rx: [10][19][1A][D6][29][07][FF][34]
105013765 : Rx: [19][E5][18][53][3C][50][20][33]
105014000 : Rx fail
105014250 : Rx fail
105014515 : Rx: [10][19][1E][D8][9E][06][FF][34]
105014750 : Rx: [19][E7][17][FE][3C][54][20][33]
105015000 : Rx: [10][19][20][D8][0D][07][FF][34]
105015265 : Rx: [19][E8][19][57][3D][59][20][33]
105015500 : Rx: [10][19][22][D9][7C][07][FF][34]
105015750 : Rx: [19][E9][18][AA][3D][53][20][33]
105016015 : Rx: [10][19][24][DA][29][07][FF][34]
105016265 : Rx: [19][EA][18][FE][3D][54][20][33]
105016500 : Rx: [10][19][26][DB][D6][06][FF][34]
105016750 : Rx: [19][EB][17][4A][3E][4C][20][33]
105017000 : Rx: [10][19][28][DC][D0][07][FF][34]
105017265 : Rx: [50][FF][FF][01][59][00][54][0B]
105017515 : Rx: [50][FF][FF][01][59][00][54][0B]
105017750 : Rx: [19][EC][1B][AC][3E][62][20][33]
105018000 : Rx: [10][19][2C][DE][3F][08][FF][34]
105018265 : Rx: [19][ED][1A][05][3F][59][20][33]
105018515 : Rx: [10][19][2E][DF][5A][08][FF][34]
105018750 : Rx: [19][EE][1C][69][3F][64][20][33]
105019000 : Rx: [10][19][30][E0][3F][08][FF][34]
105019250 : Rx: [19][EF][1B][CB][3F][62][20][33]
105019515 : Rx: [10][19][32][E1][1D][09][FF][34]
105019765 : Rx: [19][F0][1D][29][40][5E][20][33]
105020015 : Rx: [10][19][34][E2][AE][08][FF][34]
105020250 : Rx: [19][F1][1D][91][40][68][20][33]
105020515 : Rx: [10][19][36][E3][CA][08][FF][34]
105020765 : Rx: [19][F2][1D][F5][40][64][20][33]
105021015 : Rx: [10][19][38][E4][CA][08][FF][34]
