*** New Session***
31-7-2018 14:33:32
Product Name: Flow -30
81363000 : Rx: [19][47][00][7E][0D][00][20][20]
81363250 : Rx fail
81363500 : Rx fail
81363750 : Rx: [10][19][AC][71][00][00][FF][24]
81364000 : Rx: [19][49][00][7E][0D][00][20][20]
81364250 : Rx: [10][19][AC][71][00][00][FF][24]
81364500 : Rx: [19][4A][00][7E][0D][00][20][20]
81364750 : Rx: [10][19][AC][71][00][00][FF][24]
81365000 : Rx: [19][4B][00][7E][0D][00][20][20]
81365250 : Rx: [10][19][AC][71][00][00][FF][24]
81365500 : Rx: [50][FF][FF][01][59][00][C0][08]
81365765 : Rx: [50][FF][FF][01][59][00][C0][08]
81366000 : Rx: [19][4C][00][7E][0D][00][20][20]
81366250 : Rx fail
81366515 : Rx: [19][4D][00][7E][0D][00][20][20]
81366765 : Rx: [10][19][AC][71][00][00][FF][24]
81367015 : Rx: [19][4E][00][7E][0D][00][20][20]
81367250 : Rx: [10][19][AC][71][00][00][FF][24]
81367500 : Rx: [19][4F][00][7E][0D][00][20][20]
81367765 : Rx: [10][19][AC][71][00][00][FF][24]
81368015 : Rx: [19][50][00][7E][0D][00][20][20]
81368265 : Rx: [10][19][AC][71][00][00][FF][24]
81368515 : Rx: [19][51][00][7E][0D][00][20][20]
81368765 : Rx: [10][19][AC][71][00][00][FF][24]
81369015 : Rx: [19][52][00][7E][0D][00][20][20]
81369265 : Rx: [10][19][AC][71][00][00][FF][24]
81369515 : Rx: [19][53][00][7E][0D][00][20][20]
81369750 : Rx fail
81370015 : Rx: [19][54][00][7E][0D][00][20][20]
81370265 : Rx: [10][19][AC][71][00][00][FF][24]
81370515 : Rx: [19][55][00][7E][0D][00][20][20]
81370765 : Rx: [10][19][AC][71][1B][00][FF][24]
81371015 : Rx: [19][56][00][7E][0D][00][20][20]
81371265 : Rx: [10][19][AC][71][C2][00][FF][24]
81371515 : Rx: [19][57][00][7E][0D][00][20][20]
81371765 : Rx: [10][19][AD][71][15][01][FF][34]
81372015 : Rx: [19][58][00][7E][0D][00][20][30]
81372265 : Rx: [10][19][AF][71][15][01][FF][34]
81372515 : Rx: [19][59][00][7E][0D][00][20][30]
81372765 : Rx: [10][19][B1][71][4D][01][FF][34]
81373015 : Rx: [19][5A][00][81][0D][03][20][30]
81373265 : Rx: [10][19][B3][72][84][01][FF][34]
81373515 : Rx: [19][5B][00][84][0D][03][20][30]
81373765 : Rx: [10][19][B5][72][84][01][FF][34]
81374015 : Rx: [F0][00][00][00][00][00][00][00]
81374265 : Rx: [10][19][B7][72][84][01][FF][34]
81374515 : Rx: [19][5C][00][87][0D][03][20][30]
81374765 : Rx: [10][19][B9][72][84][01][FF][34]
81375015 : Rx: [19][5D][00][8B][0D][04][20][33]
81375265 : Rx: [10][19][BB][72][BC][01][FF][34]
81375515 : Rx: [19][5E][00][8F][0D][04][20][33]
81375765 : Rx: [10][19][BD][73][2B][02][FF][34]
81376015 : Rx: [19][5F][00][93][0D][04][20][33]
81376265 : Rx: [10][19][BF][73][9A][02][FF][34]
81376515 : Rx: [19][60][00][97][0D][04][20][33]
81376765 : Rx fail
81377015 : Rx fail
81377265 : Rx: [10][19][C3][74][5D][03][FF][34]
81377515 : Rx: [19][62][00][A2][0D][07][20][33]
81377765 : Rx fail
81378015 : Rx fail
81378265 : Rx: [10][19][C5][74][41][03][FF][34]
81378515 : Rx: [19][64][00][B0][0D][07][20][33]
81378765 : Rx: [10][19][C9][75][B6][02][FF][34]
81379015 : Rx: [19][65][00][B7][0D][07][20][33]
81379265 : Rx: [10][19][CB][75][94][03][FF][34]
81379515 : Rx: [19][66][00][BF][0D][08][20][33]
81379765 : Rx: [10][19][CD][76][03][04][FF][34]
81380015 : Rx: [19][67][00][C7][0D][08][20][33]
81380265 : Rx: [10][19][CF][77][1F][04][FF][34]
81380515 : Rx: [19][68][00][CF][0D][08][20][33]
81380765 : Rx: [10][19][D1][77][57][04][FF][34]
81381015 : Rx: [19][69][00][D7][0D][08][20][33]
81381265 : Rx: [10][19][D3][78][57][04][FF][34]
81381515 : Rx: [19][6A][00][E2][0D][0B][20][33]
81381765 : Rx: [10][19][D5][78][C6][04][FF][34]
81382015 : Rx: [51][FF][01][16][8D][2B][00][00]
81382265 : Rx: [51][FF][01][16][8D][2B][00][00]
81382515 : Rx: [19][6B][0C][ED][0D][0B][20][33]
81382765 : Rx: [10][19][D9][7A][C0][05][FF][34]
81383015 : Rx: [19][6C][0C][F8][0D][0B][20][33]
81383265 : Rx: [10][19][DB][7A][6C][05][FF][34]
81383515 : Rx: [19][6D][0B][07][0E][0F][20][33]
81383765 : Rx: [10][19][DD][7B][88][05][FF][34]
