*** New Session***
31-7-2018 14:40:55
Product Name: Flow 30
81806000 : Rx fail
81806250 : Rx: [10][19][D1][F8][00][00][FF][24]
81806500 : Rx: [19][88][00][40][7F][00][20][20]
81806750 : Rx: [10][19][D1][F8][00][00][FF][24]
81807000 : Rx: [19][89][00][40][7F][00][20][20]
81807250 : Rx: [10][19][D1][F8][00][00][FF][24]
81807500 : Rx: [19][8A][00][40][7F][00][20][20]
81807750 : Rx fail
81808000 : Rx: [19][8B][0A][40][7F][00][20][30]
81808250 : Rx fail
81808500 : Rx: [19][8C][0B][40][7F][00][20][30]
81808750 : Rx: [10][19][D5][F9][D2][02][FF][34]
81809000 : Rx: [19][8D][0C][40][7F][00][20][30]
81809250 : Rx: [10][19][D7][F9][5D][03][FF][34]
81809500 : Rx: [19][8E][0D][40][7F][00][20][30]
81809750 : Rx: [10][19][D9][FA][CC][03][FF][34]
81810000 : Rx: [19][8F][0F][49][7F][09][20][30]
81810250 : Rx: [10][19][DB][FA][57][04][FF][34]
81810500 : Rx: [19][90][11][52][7F][09][20][30]
81810750 : Rx: [10][19][DD][FB][3B][04][FF][34]
81811000 : Rx: [51][FF][01][16][8D][2B][00][00]
81811250 : Rx: [51][FF][01][16][8D][2B][00][00]
81811500 : Rx: [19][91][12][5B][7F][09][20][30]
81811750 : Rx: [10][19][E1][FC][3B][04][FF][34]
81812000 : Rx: [19][92][11][67][7F][0C][20][33]
81812250 : Rx: [10][19][E3][FC][B0][03][FF][34]
81812500 : Rx: [19][93][0F][73][7F][0C][20][33]
81812750 : Rx: [10][19][E5][FD][D2][02][FF][34]
81813000 : Rx: [19][94][0F][7F][7F][0C][20][33]
81813250 : Rx: [10][19][E7][FD][B0][03][FF][34]
81813500 : Rx: [19][95][14][8B][7F][0C][20][33]
81813750 : Rx: [10][19][E9][FE][E2][04][FF][34]
81814000 : Rx: [19][96][16][AB][7F][20][20][33]
81814250 : Rx: [10][19][EB][FF][FD][04][FF][34]
81814500 : Rx: [19][97][14][CB][7F][20][20][33]
81814750 : Rx: [10][19][ED][FF][E2][04][FF][34]
81815000 : Rx: [19][98][14][EB][7F][20][20][33]
81815250 : Rx fail
81815500 : Rx fail
81815750 : Rx: [10][19][F1][00][72][04][FF][34]
81816000 : Rx fail
81816250 : Rx fail
81816500 : Rx: [19][9B][12][53][80][24][20][33]
81816750 : Rx fail
81817000 : Rx: [10][19][F5][02][A4][05][FF][34]
81817250 : Rx: [10][19][F7][02][51][05][FF][34]
81817500 : Rx: [19][9D][16][9B][80][24][20][33]
81817750 : Rx: [10][19][F9][03][A4][05][FF][34]
81818000 : Rx: [19][9E][17][C6][80][2B][20][33]
81818250 : Rx: [10][19][FB][04][C0][05][FF][34]
81818500 : Rx: [19][9F][17][F1][80][2B][20][33]
81818750 : Rx: [10][19][FD][05][A4][05][FF][34]
81819000 : Rx: [19][A0][16][1C][81][2B][20][33]
81819250 : Rx: [10][19][FF][05][F7][05][FF][34]
