*** New Session***
25-7-2018 15:50:14
Product Name: Flux -30
24906671 : Rx: [19][E3][00][5E][49][00][20][20]
24906921 : Rx: [10][19][C4][05][00][00][FF][24]
24907171 : Rx: [19][E4][00][5E][49][00][20][20]
24907421 : Rx: [10][19][C4][05][00][00][FF][24]
24907671 : Rx: [19][E5][00][5E][49][00][20][20]
24907921 : Rx: [10][19][C4][05][00][00][FF][24]
24908171 : Rx: [19][E6][00][5E][49][00][20][20]
24908421 : Rx fail
24908671 : Rx: [19][E7][00][5E][49][00][20][20]
24908921 : Rx: [10][19][C4][05][00][00][FF][24]
24909171 : Rx: [19][E8][00][5E][49][00][20][20]
24909421 : Rx: [10][19][C4][05][00][00][FF][24]
24909671 : Rx: [19][E9][00][5E][49][00][20][20]
24909921 : Rx: [10][19][C4][05][00][00][FF][24]
24910171 : Rx: [19][EA][00][5E][49][00][20][20]
24910421 : Rx: [10][19][C4][05][00][00][FF][24]
24910671 : Rx: [19][EB][00][5E][49][00][20][20]
24910921 : Rx: [10][19][C4][05][00][00][FF][24]
24911171 : Rx: [50][FF][FF][01][59][00][54][0B]
24911421 : Rx: [50][FF][FF][01][59][00][54][0B]
24911671 : Rx: [19][EC][00][5E][49][00][20][20]
24911921 : Rx: [10][19][C4][05][00][00][FF][24]
24912171 : Rx: [19][ED][00][5E][49][00][20][20]
24912421 : Rx: [10][19][C4][05][00][00][FF][24]
24912671 : Rx: [19][EE][00][5E][49][00][20][20]
24912921 : Rx fail
24913171 : Rx fail
24913421 : Rx fail
24913671 : Rx: [19][F0][00][5E][49][00][20][20]
24913921 : Rx: [10][19][C5][06][15][01][FF][34]
24914171 : Rx: [19][F1][00][5E][49][00][20][30]
24914421 : Rx: [10][19][C7][06][A0][01][FF][34]
24914671 : Rx: [19][F2][00][5E][49][00][20][30]
24914921 : Rx: [10][19][C9][06][47][02][FF][34]
24915171 : Rx: [19][F3][00][5E][49][00][20][30]
24915421 : Rx: [10][19][CB][07][9A][02][FF][34]
24915671 : Rx: [19][F4][00][5E][49][00][20][30]
24915921 : Rx: [10][19][CD][07][B6][02][FF][34]
24916171 : Rx: [19][F5][00][5E][49][00][20][30]
24916421 : Rx fail
24916671 : Rx: [19][F6][00][5E][49][00][20][30]
24916921 : Rx: [10][19][D1][08][E8][03][FF][34]
24917171 : Rx: [19][F7][00][5E][49][00][20][30]
24917421 : Rx: [10][19][D3][08][8E][04][FF][34]
24917671 : Rx fail
24917921 : Rx fail
24918171 : Rx: [19][F8][00][5E][49][00][20][33]
24918421 : Rx: [10][19][D7][0A][C6][04][FF][34]
24918671 : Rx: [19][FA][00][5E][49][00][20][33]
24918921 : Rx: [10][19][D9][0A][3B][04][FF][34]
24919171 : Rx: [19][FB][00][5E][49][00][20][33]
24919437 : Rx: [10][19][DB][0B][1F][04][FF][34]
24919671 : Rx: [F0][00][00][00][00][00][00][00]
24919937 : Rx: [10][19][DD][0B][CC][03][FF][34]
24920171 : Rx: [19][FC][00][5E][49][00][20][33]
24920421 : Rx: [10][19][DF][0B][94][03][FF][34]
24920671 : Rx: [19][FD][00][5E][49][00][20][33]
24920921 : Rx: [10][19][E1][0C][5D][03][FF][34]
24921171 : Rx fail
24921421 : Rx: [10][19][E3][0C][78][03][FF][34]
24921671 : Rx fail
24921921 : Rx: [10][19][E5][0D][B0][03][FF][34]
24922171 : Rx: [19][00][00][5E][49][00][20][33]
24922421 : Rx: [10][19][E7][0D][03][04][FF][34]
24922671 : Rx: [19][01][00][5E][49][00][20][33]
24922921 : Rx: [10][19][E9][0E][03][04][FF][34]
24923171 : Rx: [19][02][00][5E][49][00][20][33]
24923421 : Rx: [10][19][EB][0E][1F][04][FF][34]
