*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25306437 : Rx fail
25306687 : Rx: [19][D3][00][EF][67][00][20][20]
25306937 : Rx: [10][19][C0][CB][00][00][FF][24]
25307187 : Rx: [50][FF][FF][01][59][00][54][0B]
25307437 : Rx: [50][FF][FF][01][59][00][54][0B]
25307687 : Rx: [19][D4][00][EF][67][00][20][20]
25307937 : Rx: [10][19][C0][CB][00][00][FF][24]
25308187 : Rx: [19][D5][00][EF][67][00][20][20]
25308437 : Rx: [10][19][C0][CB][00][00][FF][24]
25308687 : Rx fail
25308937 : Rx: [10][19][C0][CB][00][00][FF][24]
25309187 : Rx: [19][D7][00][EF][67][00][20][20]
25309437 : Rx: [10][19][C0][CB][00][00][FF][24]
25309687 : Rx: [19][D8][00][EF][67][00][20][20]
25309937 : Rx: [10][19][C0][CB][00][00][FF][24]
25310187 : Rx: [19][D9][00][EF][67][00][20][20]
25310437 : Rx: [10][19][C0][CB][00][00][FF][24]
25310687 : Rx fail
25310937 : Rx: [10][19][C0][CB][00][00][FF][24]
25311187 : Rx: [19][DB][00][EF][67][00][20][20]
25311437 : Rx fail
25311687 : Rx fail
25311937 : Rx: [10][19][C0][CB][00][00][FF][24]
25312187 : Rx: [19][DD][00][EF][67][00][20][20]
25312437 : Rx: [10][19][C0][CB][00][00][FF][24]
25312687 : Rx: [19][DE][00][EF][67][00][20][20]
25312937 : Rx: [10][19][C0][CB][00][00][FF][24]
25313187 : Rx: [19][DF][00][EF][67][00][20][20]
25313437 : Rx: [10][19][C0][CB][00][00][FF][24]
25313687 : Rx fail
25313937 : Rx: [10][19][C0][CB][00][00][FF][24]
25314187 : Rx: [19][E1][00][EF][67][00][20][20]
25314437 : Rx fail
25314687 : Rx fail
25314937 : Rx fail
25315187 : Rx: [19][E3][00][EF][67][00][20][20]
25315437 : Rx: [10][19][C0][CC][1B][00][FF][24]
25315687 : Rx: [F0][00][00][00][00][00][00][00]
25315937 : Rx: [10][19][C0][CC][DE][00][FF][24]
25316187 : Rx: [19][E4][0C][EF][67][00][20][30]
25316437 : Rx: [10][19][C2][CC][5D][03][FF][34]
25316687 : Rx: [19][E5][11][EF][67][00][20][30]
25316937 : Rx: [10][19][C4][CD][51][05][FF][34]
25317187 : Rx: [19][E6][1C][EF][67][00][20][30]
25317437 : Rx: [10][19][C6][CE][DC][05][FF][34]
25317687 : Rx: [19][E7][1F][EF][67][00][20][30]
25317937 : Rx fail
25318187 : Rx: [10][19][C8][CE][F7][05][FF][34]
25318437 : Rx: [10][19][CA][CF][4B][06][FF][34]
25318687 : Rx: [19][E9][1F][EF][67][00][20][30]
25318937 : Rx: [10][19][CC][D0][88][05][FF][34]
25319187 : Rx: [19][EA][1D][EF][67][00][20][30]
25319437 : Rx: [10][19][CE][D0][19][05][FF][34]
25319687 : Rx: [19][EB][1A][EF][67][00][20][33]
25319937 : Rx: [10][19][D0][D1][C6][04][FF][34]
25320187 : Rx: [19][EC][14][EF][67][00][20][33]
25320437 : Rx fail
25320687 : Rx: [19][ED][14][EF][67][00][20][33]
25320937 : Rx: [10][19][D4][D2][1F][04][FF][34]
25321187 : Rx: [19][EE][18][23][68][34][20][33]
25321437 : Rx: [10][19][D6][D2][1F][04][FF][34]
25321687 : Rx: [19][EF][15][23][68][00][20][33]
25321937 : Rx: [10][19][D8][D3][C6][04][FF][34]
25322187 : Rx: [19][F0][19][5B][68][38][20][33]
25322437 : Rx: [10][19][DA][D4][E2][04][FF][34]
25322687 : Rx: [19][F1][16][5B][68][00][20][33]
25322937 : Rx: [10][19][DC][D4][3B][04][FF][34]
25323187 : Rx: [19][F2][15][87][68][2C][20][33]
25323437 : Rx: [10][19][DE][D5][03][04][FF][34]
25323687 : Rx fail
25323937 : Rx: [51][FF][02][14][87][9E][5C][33]
25324187 : Rx: [19][F3][10][87][68][00][20][33]
25324437 : Rx: [10][19][E2][D5][B6][02][FF][34]
25324687 : Rx: [19][F4][0D][87][68][00][20][33]
25324937 : Rx: [10][19][E4][D6][9A][02][FF][34]
25325187 : Rx: [19][F5][10][87][68][00][20][33]
25325437 : Rx: [10][19][E6][D6][09][03][FF][34]
25325687 : Rx: [19][F6][10][87][68][00][20][33]
25325937 : Rx: [10][19][E8][D6][EE][02][FF][34]
25326187 : Rx: [19][F7][0F][87][68][00][20][33]
25326437 : Rx: [10][19][EA][D7][B6][02][FF][34]
25326687 : Rx: [19][F8][0F][87][68][00][20][33]
25326937 : Rx: [10][19][EC][D7][EE][02][FF][34]
25327187 : Rx: [19][F9][11][87][68][00][20][33]
25327437 : Rx fail
25327687 : Rx fail
25327937 : Rx: [10][19][F0][D8][41][03][FF][34]
25328187 : Rx fail
25328437 : Rx: [10][19][F2][D8][09][03][FF][34]
25328687 : Rx: [19][FC][10][87][68][00][20][33]
25328937 : Rx: [10][19][F4][D9][25][03][FF][34]
25329187 : Rx: [19][FD][10][87][68][00][20][33]
25329437 : Rx: [10][19][F6][D9][CC][03][FF][34]
25329687 : Rx: [19][FE][14][B4][68][2D][20][33]
25329937 : Rx: [10][19][F8][DA][E8][03][FF][34]
25330187 : Rx: [19][FF][12][B4][68][00][20][33]
25330437 : Rx: [10][19][FA][DA][94][03][FF][34]
25330687 : Rx: [19][00][14][E0][68][2C][20][33]
25330937 : Rx: [10][19][FC][DB][8E][04][FF][34]
25331187 : Rx fail
25331437 : Rx: [10][19][FE][DB][3B][04][FF][34]
25331687 : Rx: [19][02][16][42][69][2C][20][33]
25331937 : Rx: [10][19][00][DC][94][03][FF][34]
25332187 : Rx: [F0][00][00][00][00][00][00][00]
25332437 : Rx: [10][19][02][DC][CC][03][FF][34]
25332687 : Rx: [19][03][15][70][69][2E][20][33]
25332937 : Rx: [10][19][04][DD][03][04][FF][34]
25333187 : Rx: [19][04][14][70][69][00][20][33]
25333437 : Rx: [10][19][06][DD][E8][03][FF][34]
25333687 : Rx: [19][05][14][9D][69][2D][20][33]
25333937 : Rx: [10][19][08][DE][C6][04][FF][34]
25334187 : Rx: [19][06][19][D6][69][39][20][33]
25334437 : Rx: [10][19][0A][DE][FD][04][FF][34]
