*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61130171 : Rx: [10][19][D1][15][00][00][FF][24]
61130421 : Rx: [19][92][00][C8][2A][00][00][20]
61130671 : Rx: [10][19][D1][15][00][00][FF][24]
61130921 : Rx: [19][93][00][C8][2A][00][00][20]
61131171 : Rx: [10][19][D1][15][00][00][FF][24]
61131421 : Rx: [19][94][00][C8][2A][00][00][20]
61131671 : Rx fail
61131921 : Rx: [19][95][00][C8][2A][00][00][20]
61132171 : Rx: [10][19][D1][15][00][00][FF][24]
61132421 : Rx: [19][96][00][C8][2A][00][00][20]
61132671 : Rx: [10][19][D1][15][00][00][FF][24]
61132921 : Rx: [19][97][00][C8][2A][00][00][20]
61133171 : Rx: [10][19][D1][15][00][00][FF][24]
61133421 : Rx: [19][98][00][C8][2A][00][00][20]
61133671 : Rx: [10][19][D1][15][00][00][FF][24]
61133921 : Rx: [19][99][00][C8][2A][00][00][20]
61134171 : Rx: [10][19][D1][15][00][00][FF][24]
61134421 : Rx: [F0][00][00][00][00][00][00][00]
61134671 : Rx fail
61134921 : Rx fail
61135171 : Rx: [10][19][D1][15][00][00][FF][24]
61135421 : Rx fail
61135671 : Rx: [10][19][D1][15][53][00][FF][24]
61135921 : Rx: [19][9C][00][C8][2A][00][00][20]
61136171 : Rx: [10][19][D1][16][53][00][FF][24]
61136421 : Rx: [19][9D][00][C8][2A][00][00][20]
61136671 : Rx: [10][19][D1][16][53][00][FF][24]
61136921 : Rx: [19][9E][00][C8][2A][00][00][30]
61137171 : Rx: [10][19][D3][16][3F][08][FF][34]
61137421 : Rx: [19][9F][00][C8][2A][00][00][30]
61137671 : Rx: [10][19][D5][19][D9][0A][FF][34]
61137921 : Rx: [19][A0][00][C8][2A][00][00][30]
61138171 : Rx: [10][19][D7][1A][D9][0A][FF][34]
61138421 : Rx: [19][A1][00][C8][2A][00][00][30]
61138671 : Rx: [10][19][D9][1C][8E][12][FF][34]
61138921 : Rx: [19][A2][00][C8][2A][00][00][30]
61139171 : Rx: [10][19][DB][1E][B9][14][FF][34]
61139421 : Rx: [19][A3][00][C9][2A][01][00][30]
61139671 : Rx: [10][19][DD][22][D5][14][FF][34]
61139921 : Rx: [19][A4][00][CC][2A][03][00][30]
61140171 : Rx: [10][19][DF][24][4C][0F][FF][34]
61140421 : Rx: [19][A5][00][D1][2A][05][00][30]
61140671 : Rx: [10][19][E1][26][F5][0A][FF][34]
61140921 : Rx: [19][A6][00][D7][2A][06][00][30]
61141171 : Rx: [10][19][E3][26][CA][08][FF][34]
61141421 : Rx: [19][A7][00][DD][2A][06][00][30]
61141671 : Rx: [10][19][E5][28][5E][0C][FF][34]
61141921 : Rx: [19][A8][00][E3][2A][06][00][30]
61142171 : Rx: [10][19][E7][2B][30][0F][FF][34]
61142421 : Rx: [51][FF][02][13][85][11][00][00]
61142671 : Rx fail
61142921 : Rx fail
61143171 : Rx: [51][FF][02][13][85][11][00][00]
61143421 : Rx: [19][AA][00][EB][2A][04][00][30]
