*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61358671 : Rx: [10][19][42][64][00][00][FF][24]
61358921 : Rx: [19][3F][00][CE][67][00][00][20]
61359171 : Rx: [10][19][42][64][00][00][FF][24]
61359421 : Rx: [19][40][00][CE][67][00][00][20]
61359671 : Rx: [10][19][42][64][00][00][FF][24]
61359921 : Rx: [19][41][00][CE][67][00][00][20]
61360171 : Rx fail
61360421 : Rx fail
61360671 : Rx: [10][19][42][64][00][00][FF][24]
61360921 : Rx fail
61361171 : Rx fail
61361421 : Rx: [19][44][00][CE][67][00][00][20]
61361671 : Rx: [10][19][42][64][00][00][FF][24]
61361921 : Rx: [19][45][00][CE][67][00][00][20]
61362171 : Rx: [10][19][42][64][00][00][FF][24]
61362421 : Rx: [19][46][00][CE][67][00][00][20]
61362671 : Rx: [10][19][42][64][00][00][FF][24]
61362921 : Rx: [19][47][00][CE][67][00][00][20]
61363171 : Rx: [10][19][42][64][00][00][FF][24]
61363421 : Rx: [19][48][00][CE][67][00][00][20]
61363671 : Rx: [10][19][42][64][00][00][FF][24]
61363921 : Rx: [19][49][00][CE][67][00][00][20]
61364171 : Rx: [10][19][42][64][00][00][FF][24]
61364421 : Rx: [19][4A][00][CE][67][00][00][20]
61364671 : Rx: [10][19][42][64][00][00][FF][24]
61364921 : Rx: [19][4B][00][CE][67][00][00][20]
61365171 : Rx: [10][19][42][64][00][00][FF][24]
61365421 : Rx: [F0][00][00][00][00][00][00][00]
61365671 : Rx: [10][19][42][64][00][00][FF][24]
61365921 : Rx: [19][4C][00][CE][67][00][00][20]
61366171 : Rx: [10][19][42][64][00][00][FF][24]
61366421 : Rx: [19][4D][00][CE][67][00][00][20]
61366671 : Rx: [10][19][42][64][00][00][FF][24]
61366921 : Rx: [19][4E][00][CE][67][00][00][20]
61367171 : Rx: [10][19][42][64][00][00][FF][24]
61367421 : Rx: [19][4F][00][CE][67][00][00][20]
61367671 : Rx: [10][19][42][64][00][00][FF][24]
61367921 : Rx: [19][50][00][CE][67][00][00][20]
61368171 : Rx: [10][19][42][64][00][00][FF][24]
61368421 : Rx: [19][51][00][CE][67][00][00][20]
61368671 : Rx: [10][19][42][64][00][00][FF][24]
61368921 : Rx: [19][52][00][CE][67][00][00][20]
61369171 : Rx: [10][19][42][64][00][00][FF][24]
61369421 : Rx: [19][53][00][CE][67][00][00][20]
61369671 : Rx: [10][19][42][64][00][00][FF][24]
61369921 : Rx: [19][54][00][CE][67][00][00][20]
61370171 : Rx: [10][19][42][64][00][00][FF][24]
61370421 : Rx: [19][55][00][CE][67][00][00][20]
61370671 : Rx: [10][19][42][64][00][00][FF][24]
61370921 : Rx: [19][56][00][CE][67][00][00][20]
61371171 : Rx: [10][19][42][64][00][00][FF][24]
61371421 : Rx: [19][57][00][CE][67][00][00][20]
61371671 : Rx fail
61371921 : Rx: [10][19][42][64][00][00][FF][24]
61372171 : Rx: [10][19][42][64][00][00][FF][24]
61372421 : Rx: [19][59][00][CE][67][00][00][20]
61372671 : Rx: [10][19][42][64][53][00][FF][24]
61372921 : Rx: [19][5A][00][CE][67][00][00][20]
61373171 : Rx: [10][19][43][64][FD][04][FF][34]
61373421 : Rx: [51][FF][02][13][85][11][00][00]
61373671 : Rx: [51][FF][02][13][85][11][00][00]
