*** New Session***
31-7-2018 08:19:13
Product Name: KickR -30
58904140 : Rx: [10][19][06][C8][00][00][FF][4C]
58904390 : Rx: [10][19][06][C8][00][00][FF][4C]
58904640 : Rx: [19][7B][FF][88][E1][00][00][40]
58904890 : Rx: [11][FF][FF][DB][FF][7F][00][40]
58905140 : Rx: [10][19][06][C8][00][00][FF][4C]
58905390 : Rx: [10][19][06][C8][00][00][FF][4C]
58905640 : Rx: [1A][16][16][23][2E][6D][30][30]
58905890 : Rx: [11][FF][FF][DB][FF][7F][00][40]
58906140 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
58906390 : Rx: [51][FF][FF][2E][A5][F7][C8][00]
58906640 : Rx: [10][19][06][C8][00][00][FF][4C]
58906890 : Rx: [10][19][06][C8][00][00][FF][4C]
58907140 : Rx: [19][85][FF][88][E1][00][00][40]
58907390 : Rx: [11][FF][FF][DB][FF][7F][00][40]
58907640 : Rx: [10][19][06][C8][00][00][FF][3C]
58907890 : Rx: [10][19][07][C8][00][00][FF][3C]
58908140 : Rx: [1A][16][16][23][2E][6D][30][30]
58908390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58908640 : Rx: [10][19][0A][C8][00][00][FF][3C]
58908890 : Rx: [10][19][0B][C8][00][00][FF][3C]
58909140 : Rx: [19][8D][FF][88][E1][00][00][30]
58909390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58909640 : Rx: [10][19][0E][C8][00][00][FF][3C]
58909890 : Rx: [10][19][0F][C8][00][00][FF][3C]
58910140 : Rx: [1A][16][16][23][2E][6D][30][30]
58910390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58910640 : Rx: [10][19][12][C8][00][00][FF][3C]
58910890 : Rx: [10][19][13][C8][00][00][FF][3C]
58911140 : Rx: [19][95][FF][88][E1][00][00][30]
58911390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58911640 : Rx: [10][19][16][CA][53][00][FF][3C]
58911890 : Rx: [10][19][17][CA][53][00][FF][3C]
58912140 : Rx: [1A][17][17][15][00][6D][30][30]
58912390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58912640 : Rx: [10][19][1A][CA][53][00][FF][3C]
58912890 : Rx fail
58913140 : Rx fail
58913390 : Rx: [10][19][1B][CA][53][00][FF][3C]
58913640 : Rx: [19][9D][FF][88][E1][00][00][30]
58913890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58914140 : Rx: [10][19][20][CD][20][03][FF][3C]
58914390 : Rx: [10][19][21][CD][20][03][FF][3C]
58914640 : Rx: [1A][18][18][0C][16][7E][31][30]
58914890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58915140 : Rx: [10][19][24][CD][20][03][FF][3C]
58915390 : Rx: [10][19][25][CD][20][03][FF][3C]
58915640 : Rx: [19][A5][FF][0D][E2][13][00][30]
58915890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58916140 : Rx: [10][19][28][CF][B1][04][FF][3C]
58916390 : Rx: [10][19][29][CF][B1][04][FF][3C]
58916640 : Rx: [1A][19][19][AF][24][7E][31][30]
58916890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58917140 : Rx: [10][19][2C][CF][B1][04][FF][3C]
58917390 : Rx: [10][19][2D][D1][01][06][FF][3C]
58917640 : Rx: [19][AD][FF][2F][E2][11][00][30]
58917890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58918140 : Rx: [10][19][30][D1][01][06][FF][3C]
58918390 : Rx: [10][19][31][D1][01][06][FF][3C]
58918640 : Rx: [1A][1B][1B][08][3A][6F][32][30]
58918890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58919140 : Rx: [10][19][34][D3][EF][06][FF][3C]
58919390 : Rx: [10][19][35][D3][EF][06][FF][3C]
58919640 : Rx: [19][B5][FF][C1][E2][17][00][30]
58919890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58920140 : Rx: [10][19][38][D5][D6][07][FF][3C]
58920390 : Rx: [10][19][39][D5][D6][07][FF][3C]
58920640 : Rx: [1A][1D][1D][CB][4A][6E][33][30]
58920890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58921140 : Rx: [10][19][3C][D8][98][08][FF][3C]
58921390 : Rx: [10][19][3D][D8][98][08][FF][3C]
58921640 : Rx: [19][BD][FF][75][E3][0F][00][30]
58921890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58922140 : Rx: [10][19][40][DA][DA][08][FF][3C]
58922390 : Rx: [10][19][41][DA][DA][08][FF][3C]
58922640 : Rx: [1A][1F][1F][40][5A][05][34][30]
58922890 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58923140 : Rx: [50][FF][FF][01][20][00][01][00]
58923390 : Rx: [50][FF][FF][01][20][00][01][00]
58923640 : Rx: [10][19][46][DE][3E][09][FF][3C]
58923890 : Rx: [10][19][47][DE][3E][09][FF][3C]
58924140 : Rx fail
58924390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58924640 : Rx: [10][19][4A][E0][44][09][FF][3C]
58924890 : Rx: [10][19][4B][E0][44][09][FF][3C]
58925140 : Rx: [1A][21][21][19][69][9F][34][30]
58925390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58925640 : Rx: [10][19][4E][E3][5A][09][FF][3C]
58925890 : Rx: [10][19][4F][E3][5A][09][FF][3C]
58926140 : Rx: [19][CF][FF][8E][E4][10][00][30]
58926390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58926640 : Rx: [10][19][52][E5][F7][09][FF][3C]
58926890 : Rx: [10][19][53][E5][F7][09][FF][3C]
58927140 : Rx: [1A][24][24][30][7E][BD][35][30]
58927390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58927640 : Rx: [10][19][56][E7][0A][0A][FF][3C]
58927890 : Rx: [10][19][57][E7][0A][0A][FF][3C]
58928140 : Rx: [19][D7][FF][3F][E5][12][00][30]
58928390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58928640 : Rx: [10][19][5A][E9][12][0A][FF][3C]
58928890 : Rx: [10][19][5B][EB][58][0A][FF][3C]
58929140 : Rx: [1A][26][26][A7][8B][5E][36][30]
58929390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58929640 : Rx: [10][19][5E][EE][4C][0A][FF][3C]
58929890 : Rx: [10][19][5F][EE][4C][0A][FF][3C]
58930140 : Rx: [19][DF][FF][D5][E5][13][00][30]
58930390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58930640 : Rx: [10][19][62][F0][62][0A][FF][3C]
58930890 : Rx: [10][19][63][F0][62][0A][FF][3C]
58931140 : Rx: [1A][28][28][F1][98][00][37][30]
58931390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58931640 : Rx: [10][19][66][F2][A8][0A][FF][3C]
58931890 : Rx: [10][19][67][F2][A8][0A][FF][3C]
58932140 : Rx: [19][E7][FF][6E][E6][14][00][30]
58932390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58932640 : Rx: [10][19][6A][F4][E5][0A][FF][3C]
58932890 : Rx: [10][19][6B][F6][E4][0A][FF][3C]
58933140 : Rx: [1A][2B][2B][01][AC][F6][37][30]
58933390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58933640 : Rx: [10][19][6E][F9][FB][0A][FF][3C]
58933890 : Rx: [10][19][6F][F9][FB][0A][FF][3C]
58934140 : Rx: [19][EF][FF][0E][E7][14][00][30]
58934390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58934640 : Rx: [10][19][72][FB][51][0B][FF][3C]
58934890 : Rx: [10][19][73][FB][51][0B][FF][3C]
58935140 : Rx: [1A][2E][2E][6B][BE][09][39][30]
58935390 : Rx fail
58935640 : Rx: [10][19][76][FD][4B][0B][FF][3C]
58935890 : Rx: [10][19][77][FF][4F][0B][FF][3C]
58936140 : Rx: [19][F7][FF][CB][E7][15][00][30]
58936390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58936640 : Rx fail
58936890 : Rx: [10][19][7B][01][D6][0B][FF][3C]
58937140 : Rx: [1A][30][30][4D][CA][E3][39][30]
58937390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58937640 : Rx: [10][19][7E][04][EE][0B][FF][3C]
58937890 : Rx: [10][19][7F][04][EE][0B][FF][3C]
58938140 : Rx: [19][FF][FF][A8][E8][1A][00][30]
58938390 : Rx: [11][FF][FF][DB][FF][7F][00][30]
58938640 : Rx: [10][19][82][06][32][0C][FF][3C]
58938890 : Rx: [10][19][83][08][CE][0C][FF][3C]
58939140 : Rx: [1A][33][33][10][DB][2B][3B][30]
