*** New Session***
19-7-2018 15:52:21
Product Name: Flux 0W
107164578 : Rx: [19][AE][00][5A][F8][00][20][20]
107164828 : Rx: [10][19][FA][F8][00][00][FF][24]
107165078 : Rx: [19][AF][00][5A][F8][00][20][20]
107165328 : Rx: [10][19][FA][F8][00][00][FF][24]
107165578 : Rx: [19][B0][00][5A][F8][00][20][20]
107165828 : Rx: [10][19][FA][F8][00][00][FF][24]
107166078 : Rx fail
107166328 : Rx fail
107166578 : Rx: [19][B2][00][5A][F8][00][20][20]
107166828 : Rx: [10][19][FA][F8][00][00][FF][24]
107167078 : Rx: [19][B3][00][5A][F8][00][20][20]
107167328 : Rx: [10][19][FA][F8][00][00][FF][24]
107167578 : Rx: [19][B4][00][5A][F8][00][20][20]
107167828 : Rx: [10][19][FA][F8][00][00][FF][24]
107168078 : Rx: [19][B5][00][5A][F8][00][20][20]
107168328 : Rx: [10][19][FA][F8][00][00][FF][24]
107168578 : Rx: [19][B6][00][5A][F8][00][20][20]
107168828 : Rx: [10][19][FA][F8][00][00][FF][24]
107169078 : Rx: [19][B7][00][5A][F8][00][20][20]
107169328 : Rx: [10][19][FA][F8][00][00][FF][24]
107169578 : Rx: [19][B8][00][5A][F8][00][20][20]
107169828 : Rx: [10][19][FA][F8][00][00][FF][24]
107170078 : Rx: [19][B9][00][5A][F8][00][20][20]
107170328 : Rx: [10][19][FA][F8][00][00][FF][24]
107170578 : Rx: [F0][00][00][00][00][00][00][00]
107170828 : Rx: [10][19][FA][F8][00][00][FF][24]
107171078 : Rx: [19][BA][00][5A][F8][00][20][20]
107171328 : Rx: [10][19][FA][F8][00][00][FF][24]
107171578 : Rx: [19][BB][00][5A][F8][00][20][20]
107171828 : Rx: [10][19][FA][F8][00][00][FF][24]
107172078 : Rx: [19][BC][00][5A][F8][00][20][20]
107172328 : Rx: [10][19][FA][F8][00][00][FF][24]
107172578 : Rx: [19][BD][00][5A][F8][00][20][20]
107172828 : Rx: [10][19][FA][F8][00][00][FF][24]
107173078 : Rx: [19][BE][00][5A][F8][00][20][20]
107173328 : Rx: [10][19][FA][F8][00][00][FF][24]
107173578 : Rx: [19][BF][00][5A][F8][00][20][20]
107173828 : Rx: [10][19][FA][F8][00][00][FF][24]
107174078 : Rx: [19][C0][00][5A][F8][00][20][20]
107174328 : Rx: [10][19][FA][F8][00][00][FF][24]
107174578 : Rx: [19][C1][00][5A][F8][00][20][20]
107174828 : Rx fail
107175078 : Rx: [19][C2][00][5A][F8][00][20][20]
107175328 : Rx: [10][19][FA][F8][00][00][FF][24]
107175578 : Rx: [19][C3][00][5A][F8][00][20][20]
107175828 : Rx: [10][19][FA][F8][00][00][FF][24]
107176078 : Rx: [19][C4][00][5A][F8][00][20][20]
