*** New Session***
7/18/2018 11:20:08 AM
Product Name: TacxBushidoLog
82857703 : Rx: [10][19][4F][00][00][00][FF][34]
82857953 : Rx: [19][1B][11][9E][0E][00][40][30]
82858203 : Rx: [10][19][51][00][07][08][FF][34]
82858453 : Rx: [19][1C][11][02][0F][64][40][30]
82858703 : Rx: [10][19][53][00][07][08][FF][34]
82858953 : Rx: [19][1D][11][66][0F][64][40][30]
82859203 : Rx: [10][19][55][00][07][08][FF][34]
82859453 : Rx: [19][1E][11][CA][0F][64][40][30]
82859703 : Rx: [10][19][57][00][07][08][FF][34]
82859953 : Rx fail
82860203 : Rx fail
82860453 : Rx: [19][1F][11][2E][10][64][40][30]
82860703 : Rx: [10][19][5B][00][07][08][FF][34]
82860953 : Rx: [19][21][11][F6][10][64][40][30]
82861203 : Rx: [10][19][5D][00][07][08][FF][34]
82861453 : Rx: [19][22][11][5A][11][64][40][30]
82861703 : Rx: [10][19][5F][00][07][08][FF][34]
82861953 : Rx: [19][23][11][BE][11][64][40][30]
82862203 : Rx: [10][19][61][00][07][08][FF][34]
82862453 : Rx: [19][24][11][22][12][64][40][30]
82862703 : Rx: [10][19][63][00][07][08][FF][34]
82862953 : Rx fail
82863203 : Rx fail
82863453 : Rx: [F0][00][00][00][00][00][00][00]
82863703 : Rx: [10][19][67][00][70][09][FF][34]
82863953 : Rx: [19][26][14][FA][12][74][40][30]
82864203 : Rx: [10][19][69][00][33][0A][FF][34]
82864453 : Rx: [19][27][16][79][13][7F][40][30]
82864703 : Rx: [10][19][6B][00][21][0D][FF][34]
82864953 : Rx: [19][28][1C][1B][14][A2][40][30]
82865203 : Rx: [10][19][6D][00][A6][0E][FF][34]
82865453 : Rx: [19][29][1F][D0][14][B5][40][30]
82865703 : Rx: [10][19][6F][00][A6][0E][FF][34]
82865953 : Rx: [19][2A][20][8B][15][BB][40][30]
82866203 : Rx: [10][19][71][00][15][0F][FF][34]
82866453 : Rx: [19][2B][22][50][16][C5][40][30]
82866703 : Rx: [10][19][73][00][F3][0F][FF][34]
82866953 : Rx: [19][2C][23][1D][17][CD][40][30]
82867203 : Rx: [10][19][75][00][9A][10][FF][34]
82867453 : Rx: [19][2D][24][ED][17][D0][40][30]
82867703 : Rx: [10][19][77][00][D1][10][FF][34]
82867953 : Rx: [19][2E][24][BD][18][D0][40][30]
82868203 : Rx: [10][19][79][00][D1][10][FF][34]
82868453 : Rx: [19][2F][24][8D][19][D0][40][30]
82868703 : Rx: [10][19][7B][00][D1][10][FF][34]
82868953 : Rx: [19][30][24][5D][1A][D0][40][30]
82869203 : Rx: [10][19][7D][00][D1][10][FF][34]
82869453 : Rx: [19][31][24][2D][1B][D0][40][30]
82869703 : Rx: [10][19][7F][00][D1][10][FF][34]
82869953 : Rx: [19][32][24][FD][1B][D0][40][30]
82870203 : Rx: [10][19][81][00][D1][10][FF][34]
82870453 : Rx: [19][33][24][CD][1C][D0][40][30]
82870703 : Rx: [10][19][83][00][D1][10][FF][34]
82870953 : Rx: [19][34][24][9D][1D][D0][40][30]
82871203 : Rx: [10][19][85][00][D1][10][FF][34]
82871453 : Rx: [51][FF][02][03][01][00][00][00]
82871703 : Rx: [51][FF][02][03][01][00][00][00]
82871953 : Rx: [19][35][24][6D][1E][D0][40][30]
82872203 : Rx: [10][19][89][00][D1][10][FF][34]
82872453 : Rx: [19][36][24][3D][1F][D0][40][30]
82872703 : Rx: [10][19][8B][00][D1][10][FF][34]
82872953 : Rx: [19][37][24][0D][20][D0][40][30]
