*** New Session***
7/18/2018 11:21:43 AM
Product Name: BushidoLog2
82952156 : Rx: [10][19][56][00][00][00][FF][34]
82952406 : Rx: [19][35][00][CC][00][00][40][30]
82952656 : Rx: [10][19][58][00][D9][0A][FF][34]
82952906 : Rx: [19][36][00][30][0D][64][40][30]
82953156 : Rx: [10][19][5A][00][D9][0A][FF][34]
82953406 : Rx: [19][37][00][94][0D][64][40][30]
82953656 : Rx: [10][19][5C][00][D9][0A][FF][34]
82953906 : Rx: [19][38][00][F8][0D][64][40][30]
82954156 : Rx: [10][19][5E][00][D9][0A][FF][34]
82954406 : Rx: [19][39][00][5C][0E][64][40][30]
82954656 : Rx: [10][19][60][00][D9][0A][FF][34]
82954906 : Rx: [19][3A][00][C0][0E][64][40][30]
82955156 : Rx: [10][19][62][00][D9][0A][FF][34]
82955406 : Rx: [19][3B][00][24][0F][64][40][30]
82955656 : Rx: [10][19][64][00][D9][0A][FF][34]
82955906 : Rx: [19][3C][00][88][0F][64][40][30]
82956156 : Rx: [10][19][66][00][D9][0A][FF][34]
82956406 : Rx: [51][FF][02][03][01][00][00][00]
82956656 : Rx: [51][FF][02][03][01][00][00][00]
82956906 : Rx: [19][3D][00][EC][0F][64][40][30]
82957156 : Rx: [10][19][6A][00][D9][0A][FF][34]
82957406 : Rx: [19][3E][00][50][10][64][40][30]
82957656 : Rx: [10][19][6C][00][D9][0A][FF][34]
82957906 : Rx: [19][3F][00][B4][10][64][40][30]
82958156 : Rx: [10][19][6E][00][D9][0A][FF][34]
82958406 : Rx: [19][40][00][18][11][64][40][30]
82958656 : Rx: [10][19][70][00][D9][0A][FF][34]
82958906 : Rx: [19][41][00][7C][11][64][40][30]
82959156 : Rx: [10][19][72][00][D9][0A][FF][34]
82959406 : Rx: [19][42][00][E0][11][64][40][30]
82959656 : Rx: [10][19][74][00][46][10][FF][34]
82959906 : Rx: [19][43][00][44][12][64][40][30]
82960156 : Rx: [10][19][76][00][46][10][FF][34]
82960406 : Rx: [19][44][00][A8][12][64][40][30]
82960656 : Rx: [10][19][78][00][46][10][FF][34]
82960906 : Rx: [19][45][00][0C][13][64][40][30]
82961156 : Rx: [10][19][7A][00][46][10][FF][34]
82961406 : Rx: [19][46][00][70][13][64][40][30]
82961656 : Rx: [10][19][7C][00][46][10][FF][34]
82961906 : Rx: [19][47][00][D4][13][64][40][30]
82962156 : Rx: [10][19][7E][00][46][10][FF][34]
82962406 : Rx: [19][48][00][6A][14][96][40][30]
82962656 : Rx fail
82962906 : Rx: [10][19][80][00][46][10][FF][34]
82963156 : Rx fail
82963406 : Rx fail
82963656 : Rx: [10][19][84][00][46][10][FF][34]
82963906 : Rx: [19][4B][00][2C][16][96][40][30]
82964156 : Rx: [10][19][86][00][46][10][FF][34]
